Subject ID	Slice Order Type	S2: Slice Order Type
BNU_1_0025864	IA	IA
BNU_1_0025865	IA	IA
BNU_1_0025866	IA	IA
BNU_1_0025867	IA	IA
BNU_1_0025868	IA	IA
BNU_1_0025869	IA	IA
BNU_1_0025870	IA	IA
BNU_1_0025871	IA	IA
BNU_1_0025872	IA	IA
BNU_1_0025873	IA	IA
BNU_1_0025874	IA	IA
BNU_1_0025875	IA	IA
BNU_1_0025876	IA	IA
BNU_1_0025877	IA	IA
BNU_1_0025878	IA	IA
BNU_1_0025879	IA	IA
BNU_1_0025880	IA	IA
BNU_1_0025881	IA	IA
BNU_1_0025882	IA	IA
BNU_1_0025883	IA	IA
BNU_1_0025884	IA	IA
BNU_1_0025885	IA	IA
BNU_1_0025886	IA	IA
BNU_1_0025887	IA	IA
BNU_1_0025888	IA	IA
BNU_1_0025889	IA	IA
BNU_1_0025890	IA	IA
BNU_1_0025891	IA	IA
BNU_1_0025892	IA	IA
BNU_1_0025893	IA	IA
BNU_1_0025894	IA	IA
BNU_1_0025895	IA	IA
BNU_1_0025896	IA	IA
BNU_1_0025897	IA	IA
BNU_1_0025898	IA	IA
BNU_1_0025899	IA	IA
BNU_1_0025900	IA	IA
BNU_1_0025901	IA	IA
BNU_1_0025902	IA	IA
BNU_1_0025903	IA	IA
BNU_1_0025904	IA	IA
BNU_1_0025905	IA	IA
BNU_1_0025906	IA	IA
BNU_1_0025907	IA	IA
BNU_1_0025908	IA	IA
BNU_1_0025909	IA	IA
BNU_1_0025910	IA	IA
BNU_1_0025911	IA	IA
BNU_1_0025912	IA	IA
BNU_1_0025913	IA	IA
BNU_1_0025914	IA	IA
BNU_2_0025921	IA	IA
BNU_2_0025922	IA	IA
BNU_2_0025923	IA	IA
BNU_2_0025924	IA	IA
BNU_2_0025925	IA	IA
BNU_2_0025926	IA	IA
BNU_2_0025927	IA	IA
BNU_2_0025928	IA	IA
BNU_2_0025929	IA	IA
BNU_2_0025930	IA	IA
BNU_2_0025931	IA	IA
BNU_2_0025932	IA	IA
BNU_2_0025933	IA	IA
BNU_2_0025934	IA	IA
BNU_2_0025935	IA	IA
BNU_2_0025936	IA	IA
BNU_2_0025937	IA	IA
BNU_2_0025938	IA	IA
BNU_2_0025939	IA	IA
BNU_2_0025940	IA	IA
BNU_2_0025941	IA	IA
BNU_2_0025942	IA	IA
BNU_2_0025943	IA	IA
BNU_2_0025944	IA	IA
BNU_2_0025945	IA	IA
BNU_2_0025946	IA	IA
BNU_2_0025947	IA	IA
BNU_2_0025948	IA	IA
BNU_2_0025949	IA	IA
BNU_2_0025950	IA	IA
BNU_2_0025951	IA	IA
BNU_2_0025952	IA	IA
BNU_2_0025953	IA	IA
BNU_2_0025954	IA	IA
BNU_2_0025955	IA	IA
BNU_2_0025956	IA	IA
BNU_2_0025957	IA	IA
BNU_2_0025958	IA	IA
BNU_2_0025959	IA	IA
BNU_2_0025960	IA	IA
BNU_2_0025961	IA	IA
BNU_2_0025962	IA	IA
BNU_2_0025963	IA	IA
BNU_2_0025964	IA	IA
BNU_2_0025965	IA	IA
BNU_2_0025966	IA	IA
BNU_2_0025967	IA	IA
BNU_2_0025968	IA	IA
BNU_2_0025969	IA	IA
BNU_2_0025970	IA	IA
BNU_2_0025971	IA	IA
BNU_2_0025972	IA	IA
BNU_2_0025973	IA	IA
BNU_2_0025974	IA	IA
BNU_2_0025975	IA	IA
BNU_2_0025976	IA	IA
BNU_2_0025977	IA	IA
BNU_2_0025978	IA	IA
BNU_2_0025979	IA	IA
BNU_2_0025980	IA	IA
BNU_2_0025981	IA	IA
IACAS_0025457	IA2	IA2
IACAS_0025458	IA2	IA2
IACAS_0025459	IA2	IA2
IACAS_0025460	IA2	IA2
IACAS_0025461	IA2	IA2
IACAS_0025462	IA2	IA2
IACAS_0025463	IA2	IA2
IACAS_0025464	IA2	IA2
IACAS_0025465	IA2	IA2
IACAS_0025466	IA2	IA2
IACAS_0025467	IA2	IA2
IACAS_0025468	IA2	IA2
IACAS_0025469	IA2	IA2
IACAS_0025470	IA2	IA2
IACAS_0025471	IA2	IA2
IACAS_0025472	IA2	IA2
IACAS_0025473	IA2	IA2
IACAS_0025474	IA2	IA2
IACAS_0025475	IA2	IA2
IACAS_0025476	IA2	IA2
IACAS_0025477	IA2	IA2
IACAS_0025478	IA2	IA2
IACAS_0025479	IA2	IA2
IACAS_0025480	IA2	IA2
IACAS_0025481	IA2	IA2
IACAS_0025482	IA2	IA2
IACAS_0025483	IA2	IA2
IACAS_0025484	IA2	IA2
IPCAS_2_0025515	IA2	IA2
IPCAS_2_0025516	IA2	IA2
IPCAS_2_0025517	IA2	IA2
IPCAS_2_0025518	IA2	IA2
IPCAS_2_0025519	IA2	IA2
IPCAS_2_0025520	IA2	IA2
IPCAS_2_0025521	IA2	IA2
IPCAS_2_0025522	IA2	IA2
IPCAS_2_0025523	IA2	IA2
IPCAS_2_0025524	IA2	IA2
IPCAS_2_0025525	IA2	IA2
IPCAS_2_0025526	IA2	IA2
IPCAS_2_0025527	IA2	IA2
IPCAS_2_0025528	IA2	IA2
IPCAS_2_0025529	IA2	IA2
IPCAS_2_0025530	IA2	IA2
IPCAS_2_0025531	IA2	IA2
IPCAS_2_0025532	IA2	IA2
IPCAS_2_0025533	IA2	IA2
IPCAS_2_0025534	IA2	IA2
IPCAS_2_0025535	IA2	IA2
IPCAS_2_0025536	IA2	IA2
IPCAS_2_0025537	IA2	IA2
IPCAS_2_0025538	IA2	IA2
IPCAS_2_0025539	IA2	IA2
IPCAS_2_0025540	IA2	IA2
IPCAS_2_0025541	IA2	IA2
IPCAS_2_0025542	IA2	IA2
IPCAS_2_0025543	IA2	IA2
IPCAS_2_0025544	IA2	IA2
IPCAS_2_0025545	IA2	IA2
IPCAS_2_0025546	IA2	IA2
IPCAS_2_0025547	IA2	IA2
IPCAS_2_0025548	IA2	IA2
IPCAS_2_0025549	IA2	IA2
IPCAS_8_0025586	IA	IA
IPCAS_8_0025587	IA	IA
IPCAS_8_0025588	IA	IA
