Subject ID	Slice Order Type
0050002	IA
0050003	IA
0050004	IA
0050005	IA
0050006	IA
0050007	IA
0050008	IA
0050009	IA
0050010	IA
0050011	IA
0050012	IA
0050013	IA
0050014	IA
0050015	IA
0050016	IA
0050017	IA
0050019	IA
0050020	IA
0050022	IA
0050023	IA
0050024	IA
0050025	IA
0050026	IA
0050027	IA
0050028	IA
0050029	IA
0050030	IA
0050031	IA
0050032	IA
0050033	IA
0050034	IA
0050035	IA
0050036	IA
0050037	IA
0050038	IA
0050039	IA
0050040	IA
0050041	IA
0050042	IA
0050043	IA
0050044	IA
0050045	IA
0050046	IA
0050047	IA
0050048	IA
0050049	IA
0050050	IA
0050051	IA
0050052	IA
0050053	IA
0050054	IA
0050055	IA
0050056	IA
0050057	IA
0050058	IA
0050059	IA
0050060	IA
0050102	IA
0050103	IA
0050104	IA
0050105	IA
0050106	IA
0050107	IA
0050108	IA
0050109	IA
0050110	IA
0050111	IA
0050112	IA
0050113	IA
0050114	IA
0050115	IA
0050116	IA
0050117	IA
0050118	IA
0050119	IA
0050120	IA
0050121	IA
0050122	IA
0050123	IA
0050124	IA
0050125	IA
0050126	IA
0050127	IA
0050128	IA
0050129	IA
0050130	IA
0050131	IA
0050132	IA
0050133	IA
0050134	IA
0050135	IA
0050136	IA
0050137	IA
0050142	IA2
0050143	IA2
0050144	IA2
0050145	IA2
0050146	IA2
0050147	IA2
0050148	IA2
0050149	IA2
0050150	IA2
0050152	IA2
0050153	IA2
0050155	IA2
0050156	IA2
0050157	IA2
0050158	IA2
0050159	IA2
0050160	IA2
0050161	IA2
0050162	IA2
0050163	IA2
0050164	IA2
0050165	IA2
0050166	IA2
0050167	IA2
0050168	IA2
0050169	IA2
0050170	IA2
0050171	IA2
0050182	IA
0050183	IA
0050184	IA
0050185	IA
0050186	IA
0050187	IA
0050188	IA
0050189	IA
0050190	IA
0050191	IA
0050192	IA
0050193	IA
0050194	IA
0050195	IA
0050196	IA
0050197	IA
0050198	IA
0050199	IA
0050200	IA
0050201	IA
0050202	IA
0050203	IA
0050204	IA
0050205	IA
0050206	IA
0050207	IA
0050208	IA
0050209	IA
0050210	IA
0050211	IA
0050212	IA
0050213	IA
0050214	IA
0050215	IA
0050216	IA
0050217	IA
0050232	SA
0050233	SA
0050234	SA
0050235	SA
0050236	SA
0050237	SA
0050238	SA
0050239	SA
0050240	SA
0050241	SA
0050242	SA
0050243	SA
0050244	SA
0050245	SA
0050246	SA
0050247	SA
0050248	SA
0050249	SA
0050250	SA
0050251	SA
0050252	SA
0050253	SA
0050254	SA
0050255	SA
0050257	SA
0050259	SA
0050260	SA
0050261	SA
0050262	SA
0050263	SA
0050264	SA
0050265	SA
0050266	SA
0050267	SA
0050268	SA
0050269	SA
0050270	SA
0050271	SA
0050272	SA
0050273	SA
0050274	SA
0050275	SA
0050276	SA
0050277	SA
0050278	SA
0050279	SA
0050280	SA
0050281	SA
0050282	SA
0050283	SA
0050284	SA
0050285	SA
0050286	SA
0050287	SA
0050288	SA
0050289	SA
0050290	SA
0050291	SA
0050292	SA
0050293	SA
0050294	SA
0050295	SA
0050296	SA
0050297	SA
0050298	SA
0050299	SA
0050300	SA
0050301	SA
0050302	SA
0050303	SA
0050304	SA
0050305	SA
0050306	SA
0050307	SA
0050308	SA
0050309	SA
0050310	SA
0050311	SA
0050312	SA
0050313	SA
0050314	SA
0050315	SA
0050316	SA
0050317	SA
0050318	SA
0050319	SA
0050320	SA
0050321	SA
0050322	SA
0050323	SA
0050324	SA
0050325	SA
0050326	SA
0050327	SA
0050328	SA
0050329	SA
0050330	SA
0050331	SA
0050332	SA
0050333	SA
0050334	SA
0050335	SA
0050336	SA
0050337	SA
0050338	SA
0050339	SA
0050340	SA
0050341	SA
0050342	SA
0050343	SA
0050344	SA
0050345	SA
0050346	SA
0050347	SA
0050348	SA
0050349	SA
0050350	SA
0050351	SA
0050352	SA
0050353	SA
0050354	SA
0050355	SA
0050356	SA
0050357	SA
0050358	SA
0050359	SA
0050360	SA
0050361	SA
0050362	SA
0050363	SA
0050364	SA
0050365	SA
0050366	SA
0050367	SA
0050368	SA
0050369	SA
0050370	SA
0050371	SA
0050372	SA
0050373	SA
0050374	SA
0050375	SA
0050376	SA
0050377	SA
0050378	SA
0050379	SA
0050380	SA
0050381	SA
0050382	SA
0050383	SA
0050385	SA
0050386	SA
0050387	SA
0050388	SA
0050390	SA
0050391	SA
0050397	SA
0050399	SA
0050402	SA
0050403	SA
0050404	SA
0050405	SA
0050406	SA
0050407	SA
0050408	SA
0050410	SA
0050411	SA
0050412	SA
0050413	SA
0050414	SA
0050415	SA
0050416	SA
0050417	SA
0050418	SA
0050419	SA
0050421	SA
0050422	SA
0050423	SA
0050424	SA
0050425	SA
0050426	SA
0050427	SA
0050428	SA
0050432	IA2
0050433	IA2
0050434	IA2
0050435	IA2
0050436	IA2
0050437	IA2
0050438	IA2
0050439	IA2
0050440	IA2
0050441	IA2
0050442	IA2
0050443	IA2
0050444	IA2
0050445	IA2
0050446	IA2
0050447	IA2
0050448	IA2
0050449	IA2
0050450	IA2
0050451	IA2
0050452	IA2
0050453	IA2
0050454	IA2
0050455	IA2
0050456	IA2
0050457	IA2
0050458	IA2
0050459	IA2
0050460	IA2
0050461	IA2
0050462	IA2
0050463	IA2
0050464	IA2
0050465	IA2
0050466	IA2
0050467	IA2
0050468	IA2
0050469	IA2
0050470	IA2
0050471	IA2
0050472	IA2
0050473	IA2
0050474	IA2
0050475	IA2
0050476	IA2
0050477	IA2
0050478	IA2
0050479	IA2
0050480	IA2
0050481	IA2
0050482	IA2
0050483	IA2
0050484	IA2
0050485	IA2
0050486	IA2
0050487	IA2
0050488	IA2
0050489	IA2
0050490	IA2
0050491	IA2
0050492	IA2
0050493	IA2
0050494	IA2
0050495	IA2
0050496	IA2
0050497	IA2
0050498	IA2
0050499	IA2
0050500	IA2
0050501	IA2
0050502	IA2
0050503	IA2
0050504	IA2
0050505	IA2
0050506	IA2
0050507	IA2
0050508	IA2
0050509	IA2
0050510	IA2
0050511	IA2
0050512	IA2
0050513	IA2
0050514	IA2
0050515	IA2
0050516	IA2
0050517	IA2
0050518	IA2
0050519	IA2
0050520	IA2
0050521	IA2
0050522	IA2
0050523	IA2
0050524	IA2
0050525	IA2
0050526	IA2
0050527	IA2
0050528	IA2
0050529	IA2
0050530	IA2
0050531	IA2
0050532	IA2
0050551	IA2
0050552	IA2
0050553	IA2
0050554	IA2
0050555	IA2
0050556	IA2
0050557	IA2
0050558	IA2
0050559	IA2
0050560	IA2
0050561	IA2
0050562	IA2
0050563	IA2
0050564	IA2
0050565	IA2
0050566	IA2
0050567	IA2
0050568	IA2
0050569	IA2
0050570	IA2
0050571	IA2
0050572	IA2
0050573	IA2
0050574	IA2
0050575	IA2
0050576	IA2
0050577	IA2
0050578	IA2
0050601	IA2
0050602	IA2
0050603	IA2
0050604	IA2
0050605	IA2
0050606	IA2
0050607	IA2
0050608	IA2
0050609	IA2
0050610	IA2
0050611	IA2
0050612	IA2
0050613	IA2
0050614	IA2
0050615	IA2
0050616	IA2
0050617	IA2
0050618	IA2
0050619	IA2
0050620	IA2
0050621	IA2
0050622	IA2
0050623	IA2
0050624	IA2
0050625	IA2
0050626	IA2
0050627	IA2
0050628	IA2
0050642	IA2
0050643	IA
0050644	IA
0050645	IA
0050646	IA2
0050647	IA2
0050648	IA
0050649	IA2
0050650	IA
0050651	IA
0050652	IA
0050653	IA2
0050654	IA2
0050655	IA
0050656	IA2
0050657	IA
0050658	IA
0050659	IA2
0050660	IA2
0050661	IA
0050663	IA2
